Year,Team,orig_pct,new_pct,delta_pct,inn_elim
2019,NYY,0.6358024691358025,0.6265432098765432,-0.0092592592592593,22.0
2018,NYY,0.6172839506172839,0.6049382716049383,-0.012345679012345623,33.0
2017,NYY,0.5617283950617284,0.5648148148148148,0.0030864197530863224,29.0
2016,NYY,0.5185185185185185,0.5154320987654321,-0.0030864197530864335,14.0
2015,NYY,0.5370370370370371,0.5524691358024691,0.015432098765432056,37.0
2019,BOS,0.5185185185185185,0.5154320987654321,-0.0030864197530864335,46.0
2018,BOS,0.6666666666666666,0.6574074074074074,-0.00925925925925919,30.0
2017,BOS,0.5740740740740741,0.5370370370370371,-0.03703703703703698,59.0
2016,BOS,0.5740740740740741,0.5648148148148148,-0.0092592592592593,17.0
2015,BOS,0.48148148148148145,0.48148148148148145,0.0,35.0
2019,TBR,0.5925925925925926,0.5833333333333334,-0.00925925925925919,48.0
2018,TBR,0.5555555555555556,0.5617283950617284,0.006172839506172867,30.0
2017,TBR,0.49382716049382713,0.4876543209876543,-0.006172839506172811,29.0
2016,TBR,0.41975308641975306,0.4166666666666667,-0.003086419753086378,15.0
2015,TBR,0.49382716049382713,0.5277777777777778,0.03395061728395066,32.0
2019,TOR,0.41358024691358025,0.4166666666666667,0.0030864197530864335,32.0
2018,TOR,0.4506172839506173,0.4382716049382716,-0.012345679012345678,24.0
2017,TOR,0.4691358024691358,0.49691358024691357,0.02777777777777779,47.0
2016,TOR,0.5493827160493827,0.5648148148148148,0.015432098765432056,37.0
2015,TOR,0.5740740740740741,0.5679012345679012,-0.006172839506172867,21.0
2019,BAL,0.3333333333333333,0.35185185185185186,0.018518518518518545,32.0
2018,BAL,0.29012345679012347,0.3055555555555556,0.015432098765432112,31.0
2017,BAL,0.46296296296296297,0.4382716049382716,-0.024691358024691357,34.0
2016,BAL,0.5493827160493827,0.5370370370370371,-0.012345679012345623,19.0
2015,BAL,0.5,0.49691358024691357,-0.0030864197530864335,25.0
2019,MIN,0.6234567901234568,0.6296296296296297,0.006172839506172867,35.0
2018,MIN,0.48148148148148145,0.49074074074074076,0.0092592592592593,32.0
2017,MIN,0.5246913580246914,0.5246913580246914,0.0,13.0
2016,MIN,0.36419753086419754,0.3765432098765432,0.012345679012345678,37.0
2015,MIN,0.5123456790123457,0.5185185185185185,0.006172839506172756,28.0
2019,DET,0.29012345679012347,0.30246913580246915,0.012345679012345678,34.0
2018,DET,0.3950617283950617,0.3950617283950617,0.0,21.0
2017,DET,0.3950617283950617,0.404320987654321,0.0092592592592593,11.0
2016,DET,0.5308641975308642,0.5277777777777778,-0.0030864197530864335,23.0
2015,DET,0.4567901234567901,0.4537037037037037,-0.003086419753086378,39.0
2019,KCR,0.36419753086419754,0.37962962962962965,0.015432098765432112,19.0
2018,KCR,0.35802469135802467,0.36728395061728397,0.0092592592592593,26.0
2017,KCR,0.49382716049382713,0.5030864197530864,0.0092592592592593,21.0
2016,KCR,0.5,0.4876543209876543,-0.012345679012345678,27.0
2015,KCR,0.5864197530864198,0.5740740740740741,-0.012345679012345734,33.0
2019,CHW,0.4444444444444444,0.4444444444444444,0.0,19.0
2018,CHW,0.38271604938271603,0.38271604938271603,0.0,26.0
2017,CHW,0.41358024691358025,0.41358024691358025,0.0,13.0
2016,CHW,0.48148148148148145,0.4783950617283951,-0.003086419753086378,34.0
2015,CHW,0.4691358024691358,0.4444444444444444,-0.024691358024691357,38.0
2019,CLE,0.5740740740740741,0.5771604938271605,0.0030864197530864335,20.0
2018,CLE,0.5617283950617284,0.5771604938271605,0.015432098765432056,37.0
2017,CLE,0.6296296296296297,0.6234567901234568,-0.006172839506172867,9.0
2016,CLE,0.5802469135802469,0.5802469135802469,0.0,35.0
2015,CLE,0.5,0.49691358024691357,-0.0030864197530864335,21.0
2019,HOU,0.6604938271604939,0.6419753086419753,-0.0185185185185186,35.0
2018,HOU,0.6358024691358025,0.6388888888888888,0.0030864197530863224,18.0
2017,HOU,0.6234567901234568,0.6234567901234568,0.0,15.0
2016,HOU,0.5185185185185185,0.5123456790123457,-0.006172839506172756,47.0
2015,HOU,0.5308641975308642,0.5246913580246914,-0.006172839506172867,28.0
2019,SEA,0.41975308641975306,0.404320987654321,-0.015432098765432056,27.0
2018,SEA,0.5493827160493827,0.5092592592592593,-0.04012345679012341,29.0
2017,SEA,0.48148148148148145,0.47530864197530864,-0.006172839506172811,23.0
2016,SEA,0.5308641975308642,0.5277777777777778,-0.0030864197530864335,36.0
2015,SEA,0.4691358024691358,0.4783950617283951,0.0092592592592593,41.0
2019,OAK,0.5987654320987654,0.6080246913580247,0.0092592592592593,38.0
2018,OAK,0.5987654320987654,0.5771604938271605,-0.021604938271604923,40.0
2017,OAK,0.46296296296296297,0.4783950617283951,0.015432098765432112,22.0
2016,OAK,0.42592592592592593,0.4228395061728395,-0.0030864197530864335,17.0
2015,OAK,0.41975308641975306,0.42901234567901236,0.0092592592592593,32.0
2019,LAA,0.4444444444444444,0.4567901234567901,0.012345679012345678,30.0
2018,LAA,0.49382716049382713,0.5,0.006172839506172867,21.0
2017,LAA,0.49382716049382713,0.49074074074074076,-0.003086419753086378,25.0
2016,LAA,0.4567901234567901,0.4691358024691358,0.012345679012345678,9.0
2015,LAA,0.5246913580246914,0.5308641975308642,0.006172839506172867,25.0
2019,TEX,0.48148148148148145,0.4783950617283951,-0.003086419753086378,25.0
2018,TEX,0.41358024691358025,0.41358024691358025,0.0,22.0
2017,TEX,0.48148148148148145,0.48148148148148145,0.0,18.0
2016,TEX,0.5864197530864198,0.5864197530864198,0.0,20.0
2015,TEX,0.5432098765432098,0.5401234567901234,-0.0030864197530864335,18.0
2019,PHI,0.5,0.49691358024691357,-0.0030864197530864335,38.0
2018,PHI,0.49382716049382713,0.4876543209876543,-0.006172839506172811,34.0
2017,PHI,0.4074074074074074,0.4166666666666667,0.0092592592592593,35.0
2016,PHI,0.4382716049382716,0.4351851851851852,-0.0030864197530864335,23.0
2015,PHI,0.3888888888888889,0.39814814814814814,0.009259259259259245,30.0
2019,NYM,0.5308641975308642,0.5370370370370371,0.006172839506172867,44.0
2018,NYM,0.47530864197530864,0.47530864197530864,0.0,41.0
2017,NYM,0.43209876543209874,0.44753086419753085,0.015432098765432112,24.0
2016,NYM,0.5370370370370371,0.5277777777777778,-0.0092592592592593,25.0
2015,NYM,0.5555555555555556,0.5462962962962963,-0.0092592592592593,43.0
2019,WSN,0.5740740740740741,0.5802469135802469,0.006172839506172867,17.0
2018,WSN,0.5061728395061729,0.5246913580246914,0.01851851851851849,28.0
2017,WSN,0.5987654320987654,0.5895061728395061,-0.0092592592592593,17.0
2016,WSN,0.5864197530864198,0.595679012345679,0.00925925925925919,39.0
2015,WSN,0.5123456790123457,0.49074074074074076,-0.02160493827160498,18.0
2019,ATL,0.5987654320987654,0.5833333333333334,-0.015432098765432056,28.0
2018,ATL,0.5555555555555556,0.5617283950617284,0.006172839506172867,32.0
2017,ATL,0.4444444444444444,0.4506172839506173,0.006172839506172867,27.0
2016,ATL,0.41975308641975306,0.41975308641975306,0.0,42.0
2015,ATL,0.41358024691358025,0.42901234567901236,0.015432098765432112,21.0
2019,MIA,0.35185185185185186,0.35802469135802467,0.006172839506172811,36.0
2018,MIA,0.3888888888888889,0.37962962962962965,-0.009259259259259245,45.0
2017,MIA,0.47530864197530864,0.4722222222222222,-0.0030864197530864335,28.0
2016,MIA,0.4876543209876543,0.49691358024691357,0.009259259259259245,25.0
2015,MIA,0.4382716049382716,0.42901234567901236,-0.009259259259259245,18.0
2019,CHC,0.5185185185185185,0.5339506172839507,0.015432098765432167,28.0
2018,CHC,0.5864197530864198,0.5771604938271605,-0.0092592592592593,42.0
2017,CHC,0.5679012345679012,0.5555555555555556,-0.012345679012345623,25.0
2016,CHC,0.6358024691358025,0.6203703703703703,-0.015432098765432167,37.0
2015,CHC,0.5987654320987654,0.5740740740740741,-0.024691358024691357,35.0
2019,MIL,0.5493827160493827,0.5524691358024691,0.0030864197530864335,43.0
2018,MIL,0.5925925925925926,0.5864197530864198,-0.006172839506172756,29.0
2017,MIL,0.5308641975308642,0.5493827160493827,0.01851851851851849,23.0
2016,MIL,0.4506172839506173,0.4660493827160494,0.015432098765432112,25.0
2015,MIL,0.41975308641975306,0.4228395061728395,0.0030864197530864335,23.0
2019,CIN,0.46296296296296297,0.4660493827160494,0.0030864197530864335,26.0
2018,CIN,0.41358024691358025,0.42901234567901236,0.015432098765432112,35.0
2017,CIN,0.41975308641975306,0.43209876543209874,0.012345679012345678,21.0
2016,CIN,0.41975308641975306,0.44135802469135804,0.02160493827160498,32.0
2015,CIN,0.3950617283950617,0.4166666666666667,0.02160493827160498,43.0
2019,STL,0.5617283950617284,0.5493827160493827,-0.012345679012345734,25.0
2018,STL,0.5432098765432098,0.5432098765432098,0.0,29.0
2017,STL,0.5123456790123457,0.5246913580246914,0.012345679012345623,31.0
2016,STL,0.5308641975308642,0.5277777777777778,-0.0030864197530864335,20.0
2015,STL,0.6172839506172839,0.6172839506172839,0.0,43.0
2019,PIT,0.42592592592592593,0.4382716049382716,0.012345679012345678,33.0
2018,PIT,0.5061728395061729,0.5,-0.006172839506172867,29.0
2017,PIT,0.46296296296296297,0.4660493827160494,0.0030864197530864335,29.0
2016,PIT,0.48148148148148145,0.4722222222222222,-0.009259259259259245,36.0
2015,PIT,0.6049382716049383,0.595679012345679,-0.0092592592592593,64.0
2019,LAD,0.654320987654321,0.6481481481481481,-0.006172839506172867,20.0
2018,LAD,0.5679012345679012,0.5648148148148148,-0.0030864197530864335,40.0
2017,LAD,0.6419753086419753,0.6296296296296297,-0.012345679012345623,21.0
2016,LAD,0.5617283950617284,0.5679012345679012,0.006172839506172756,36.0
2015,LAD,0.5679012345679012,0.5771604938271605,0.0092592592592593,32.0
2019,ARI,0.5246913580246914,0.5246913580246914,0.0,44.0
2018,ARI,0.5061728395061729,0.5185185185185185,0.012345679012345623,40.0
2017,ARI,0.5740740740740741,0.5555555555555556,-0.01851851851851849,22.0
2016,ARI,0.42592592592592593,0.42592592592592593,0.0,40.0
2015,ARI,0.4876543209876543,0.4876543209876543,0.0,47.0
2019,SDP,0.43209876543209874,0.4382716049382716,0.006172839506172867,19.0
2018,SDP,0.4074074074074074,0.42592592592592593,0.018518518518518545,44.0
2017,SDP,0.4382716049382716,0.44753086419753085,0.009259259259259245,22.0
2016,SDP,0.41975308641975306,0.41975308641975306,0.0,29.0
2015,SDP,0.4567901234567901,0.4506172839506173,-0.006172839506172811,26.0
2019,COL,0.4382716049382716,0.42592592592592593,-0.012345679012345678,41.0
2018,COL,0.5617283950617284,0.5648148148148148,0.0030864197530863224,20.0
2017,COL,0.5370370370370371,0.5401234567901234,0.0030864197530863224,16.0
2016,COL,0.46296296296296297,0.4722222222222222,0.009259259259259245,16.0
2015,COL,0.41975308641975306,0.42592592592592593,0.006172839506172867,18.0
2019,SFG,0.47530864197530864,0.4444444444444444,-0.030864197530864224,52.0
2018,SFG,0.4506172839506173,0.44753086419753085,-0.0030864197530864335,50.0
2017,SFG,0.3950617283950617,0.37962962962962965,-0.015432098765432056,45.0
2016,SFG,0.5370370370370371,0.5246913580246914,-0.012345679012345734,40.0
2015,SFG,0.5185185185185185,0.5154320987654321,-0.0030864197530864335,28.0
